path	sample	status	elapsed_ms	server_ms
/api/inbox/counts	1	200	186	106
/api/inbox/counts	2	200	186	101
/api/inbox/counts	3	200	176	105
/api/inbox/counts	4	200	163	88
/api/inbox/counts	5	200	184	108
/api/inbox/counts	6	200	177	110
/api/inbox/counts	7	200	169	93
/api/inbox/counts	8	200	157	89
/api/inbox/counts	9	200	154	88
/api/inbox/counts	10	200	172	106
/api/inbox/conversations	1	200	350	182
/api/inbox/conversations	2	200	354	192
/api/inbox/conversations	3	200	289	200
/api/inbox/conversations	4	200	262	186
/api/inbox/conversations	5	200	265	188
/api/inbox/conversations	6	200	262	182
/api/inbox/conversations	7	200	266	199
/api/inbox/conversations	8	200	282	197
/api/inbox/conversations	9	200	260	188
/api/inbox/conversations	10	200	272	201
